================================================================================

FROM MASTER_DUMPS                  FROM RAW CSV
			 100		1000		20000  instances
================================================================================
201.74			 207.0          204.03         201.16         
3.39			 6.62           3.6            3.45           
1310.27			 1290.71        1295.24        1308.85        
640.29			 642.71         640.39         640.8          
745.89			 763.71         749.92         745.27         
183.79			 193.14         183.49         183.58         
307.78			 313.81         306.22         307.85         
1215.70			 1239.29        1219.46        1215.42        
629.23			 629.29         630.38         629.16         
5313.05			 5294.95        5306.72        5312.54        
46.80			 44.57          46.58          46.74          
2167.93			 2194.71        2165.48        2167.91        
27.57			 25.48          27.65          27.46          
3721.81			 3695.43        3725.6         3722.28        
713.64			 725.1          710.46         713.12         
408.27			 400.1          407.39         408.47         
469.37			 470.62         470.36         468.95         
452.85			 444.52         452.52         453.65         
879.07			 878.24         878.46         879.04         
670.49			 675.57         671.46         670.67         
425.69			 415.05         424.03         424.91         
61.03			 64.0           60.35          60.82          
3.08			 3.38           3.03           3.06           
2814.20			 2841.81        2816.22        2814.4         
3551.13			 3527.0         3545.6         3550.09        
3045.86			 3070.05        3048.75        3047.87        
3584.55			 3577.9         3584.73        3585.12        
241.36			 239.43         238.15         240.71         
2.89			 2.29           2.88           2.87           
287.04			 291.52         285.29         287.71         
1764.42			 1770.76        1763.21        1764.55        
2122.93			 2119.67        2115.55        2121.44        
1403.90			 1396.29        1401.67        1403.33        
1278.59			 1296.0         1287.65        1278.41        
1299.76			 1308.71        1301.16        1299.04        
389.20			 394.43         389.81         389.02         
623.50			 650.71         628.33         623.55         
3.07			 2.9            3.0            3.07           
1839.18			 1838.33        1837.89        1838.31        
389.85			 378.29         386.56         389.2          
924.68			 935.57         926.38         924.18         
202.26			 214.86         204.48         202.46         
1277.48			 1264.81        1279.56        1276.03        
762.14			 757.24         764.27         762.49         
558.90			 555.86         558.29         559.22         
623.60			 616.33         613.55         621.85         
10.73			 10.1           10.66          10.71          
554.71			 555.95         556.45         555.48         
2078.95			 2074.14        2080.27        2079.56        
60.97			 61.52          61.02          61.11          
593.23			 580.67         591.6          593.41         
1523.30			 1521.43        1525.16        1526.56        
1310.83			 1306.14        1310.87        1311.66        
256.11			 258.95         256.9          256.31         
341.77			 350.95         342.71         342.82         
152.57			 149.38         152.27         152.64         
1117.99			 1118.1         1120.02        1118.27        
122.24			 128.38         121.28         121.78         
2895.32			 2901.24        2890.41        2893.64        
467.85			 465.19         466.51         467.73         
150.46			 155.0          151.03         150.05         
5.37			 5.52           5.51           5.4            
112.62			 113.33         112.61         112.61         
3.50			 3.24           3.53           3.5            
256.24			 261.1          255.34         256.0          
3047.06			 3046.95        3046.52        3046.75        
3606.18			 3590.48        3614.58        3608.66        
298.70			 300.67         300.34         298.58         
60.34			 58.9           58.36          60.69          
53.20			 51.71          52.81          52.98          
471.43			 462.38         468.8          471.87         
512.35			 527.9          512.77         512.38         
6033.18			 6029.86        6023.53        6031.72        
46.42			 46.86          44.66          45.75          
609.92			 602.29         609.12         609.36         
456.15			 454.05         457.67         456.26         
129.55			 130.05         129.64         129.71         
5.15			 5.14           5.21           5.14           
955.83			 960.52         956.64         955.53         
186.68			 188.76         185.65         186.59         
749.46			 765.57         749.05         749.38         
23.87			 23.0           24.1           23.86          
36.84			 34.48          34.59          36.59          
21.39			 20.95          22.08          21.58          
1397.95			 1401.57        1401.86        1398.5         
20.45			 19.19          20.12          20.46          
4475.34			 4464.86        4473.23        4474.67        
6401.94			 6407.38        6392.53        6400.84        
114.72			 113.43         116.03         114.94         
357.56			 356.33         352.73         357.26         
122.53			 122.48         122.44         122.51         
2687.97			 2705.48        2691.07        2686.94        
259.96			 262.19         261.54         259.7          
4534.15			 4531.0         4531.43        4533.46        
696.72			 678.24         696.37         697.45         
212.18			 202.9          212.02         212.67         
522.16			 513.62         520.99         521.99         
883.94			 873.1          879.75         883.41         
1193.22			 1198.71        1193.89        1193.62        
403.18			 399.1          404.14         403.27         
586.24			 586.52         588.19         586.39         
247.27			 244.67         247.0          247.54         
3.50			 3.76           3.57           3.53           
3252.41			 3271.71        3248.48        3253.53        
931.28			 936.9          926.52         931.06         
1324.91			 1315.76        1322.07        1324.93        
624.93			 625.76         621.66         624.95         
146.60			 149.24         146.5          145.85         
205.29			 205.81         205.77         205.21         
93.61			 95.24          93.73          93.57          
3046.25			 3063.95        3044.91        3046.03        
347.26			 343.71         346.91         347.25         
6093.98			 6101.71        6097.51        6093.56        
1193.74			 1188.38        1192.96        1193.84        
802.21			 792.95         802.7          801.93         
305.05			 309.81         303.55         304.74         
369.82			 363.71         368.15         370.1          
839.44			 851.05         840.28         839.72         
1843.07			 1821.67        1847.84        1843.13        
2040.48			 2015.62        2033.21        2039.98        
630.80			 625.1          629.15         630.56         
6.14			 9.19           6.12           6.19           
1151.29			 1157.9         1151.58        1150.91        
795.63			 789.48         794.34         796.03         
