	p	t	Gene	degree	in-degree	out-degree	Bin_avg	Bin_std	Din_avg	Din_std	Bout_avg	Bout_std	Dout_avg	Dout_std	Bin_over_Din	Bin_over_Bout	Bin_over_Dout	Din_over_Bin	Din_over_Bout	Din_over_Dout	Bout_over_Bin	Bout_over_Din	Bout_over_Dout	Dout_over_Bin	Dout_over_Din	Dout_over_Bout
1007	0.1	1.0	AP2A1	12.0	0.0	12.0	0.9840000000000001	0.126	0.0	0.0	0.0	0.0	0.986	0.11900000000000001	0.9840000000000001	0.9840000000000001	0.9840000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.986	0.986	0.986
1008	0.1	1.0	AP2B1	12.0	1.0	11.0	0.985	0.12300000000000001	0.0	0.0	0.027999999999999997	0.165	0.958	0.201	0.985	0.985	0.985	0.0	0.0	0.0	0.027999999999999997	0.027999999999999997	0.027999999999999997	0.958	0.958	0.958
1021	0.1	1.0	ARRB1	13.0	3.0	10.0	1.2790000000000001	0.727	0.0	0.0	0.0	0.0	1.137	0.561	1.2790000000000001	1.2790000000000001	1.1248900615655233	0.0	0.0	0.0	0.0	0.0	0.0	0.8889757623143081	1.137	1.137
1044	0.1	1.0	ATP6V1C1	14.0	6.0	8.0	1.25	1.1640000000000001	0.0	0.0	0.022000000000000002	0.147	2.0669999999999997	2.112	1.25	1.25	0.6047411707789065	0.0	0.0	0.0	0.017599999999999998	0.022000000000000002	0.010643444605708756	1.6536000000000002	2.0669999999999997	2.0669999999999997
1045	0.1	1.0	ATP6V1C2	11.0	5.0	6.0	2.0	1.778	0.0	0.0	0.125	0.331	1.594	1.6740000000000002	2.0	2.0	1.2547051442910917	0.0	0.0	0.0	0.0625	0.125	0.07841907151819323	0.797	1.594	1.594
1061	0.1	1.0	BCAR1	14.0	1.0	13.0	0.986	0.11699999999999999	0.0	0.0	0.065	0.247	0.924	0.265	0.986	0.986	0.986	0.0	0.0	0.0	0.065	0.065	0.065	0.924	0.924	0.924
1064	0.1	1.0	BDKRB1	11.0	1.0	10.0	0.982	0.132	0.0	0.0	0.0	0.0	0.983	0.128	0.982	0.982	0.982	0.0	0.0	0.0	0.0	0.0	0.0	0.983	0.983	0.983
1065	0.1	1.0	BDKRB2	12.0	0.0	12.0	0.978	0.146	0.0	0.0	0.016	0.127	0.9670000000000001	0.17800000000000002	0.978	0.978	0.978	0.0	0.0	0.0	0.016	0.016	0.016	0.9670000000000001	0.9670000000000001	0.9670000000000001
1068	0.1	1.0	BLNK	11.0	0.0	11.0	0.98	0.141	0.0	0.0	0.032	0.177	0.9520000000000001	0.215	0.98	0.98	0.98	0.0	0.0	0.0	0.032	0.032	0.032	0.9520000000000001	0.9520000000000001	0.9520000000000001
1085	0.1	1.0	CALM3	15.0	4.0	11.0	1.27	0.895	0.0	0.0	0.0	0.0	1.175	0.746	1.27	1.27	1.0808510638297872	0.0	0.0	0.0	0.0	0.0	0.0	0.9251968503937008	1.175	1.175
1097	0.1	1.0	CASP3	14.0	0.0	14.0	0.9840000000000001	0.125	0.0	0.0	0.037000000000000005	0.18899999999999997	0.951	0.217	0.9840000000000001	0.9840000000000001	0.9840000000000001	0.0	0.0	0.0	0.037000000000000005	0.037000000000000005	0.037000000000000005	0.951	0.951	0.951
1106	0.1	1.0	CBL	14.0	4.0	10.0	1.19	0.7759999999999999	0.0	0.0	0.0	0.0	1.2590000000000001	0.8859999999999999	1.19	1.19	0.9451945988880064	0.0	0.0	0.0	0.0	0.0	0.0	1.057983193277311	1.2590000000000001	1.2590000000000001
1121	0.1	1.0	CCND1	12.0	0.0	12.0	0.986	0.12	0.0	0.0	0.0	0.0	0.981	0.136	0.986	0.986	0.986	0.0	0.0	0.0	0.0	0.0	0.0	0.981	0.981	0.981
1140	0.1	1.0	CD4	13.0	2.0	11.0	1.052	0.289	0.0	0.0	0.07400000000000001	0.262	0.981	0.408	1.052	1.052	1.052	0.0	0.0	0.0	0.07034220532319391	0.07400000000000001	0.07400000000000001	0.932509505703422	0.981	0.981
1199	0.1	1.0	CRK	11.0	2.0	9.0	1.111	0.37799999999999995	0.0	0.0	0.018000000000000002	0.131	1.035	0.32299999999999995	1.111	1.111	1.0734299516908212	0.0	0.0	0.0	0.0162016201620162	0.018000000000000002	0.017391304347826087	0.9315931593159316	1.035	1.035
1279	0.1	1.0	EP300	12.0	4.0	8.0	1.022	0.32899999999999996	0.022000000000000002	0.146	0.243	0.429	1.459	0.888	1.022	1.022	0.7004797806716929	0.021526418786692758	0.022000000000000002	0.015078821110349553	0.23776908023483365	0.243	0.16655243317340646	1.427592954990215	1.459	1.459
1403	0.1	1.0	HSPA8	15.0	6.0	9.0	1.349	1.179	0.09300000000000001	0.29	0.122	0.327	1.463	1.327	1.349	1.349	0.9220779220779219	0.06893995552260934	0.09300000000000001	0.06356801093643198	0.0904373610081542	0.122	0.0833902939166097	1.0845070422535212	1.463	1.463
